Date,LHD,Rainfall,Tmean,Tmax,Tmin,Elevation,Floodwave,Salmonella,Population,Incidence
2001-12-01,Central Coast,34.7,21.19,25.05,17.99,44,0,5,294596,1.697239609
2002-01-01,Central Coast,19.9,22.25,25.53,19.54,44,1,10,297530,3.361005613
2002-02-01,Central Coast,168.5,21.11,23.28,19.19,44,6,3,297530,1.008301684
2002-03-01,Central Coast,64,20.77,23.42,18.53,44,2,5,297530,1.680502806
2002-04-01,Central Coast,42.9,19.02,21.63,16.84,44,1,6,297530,2.016603368
2002-05-01,Central Coast,58,15.44,17.86,13.32,44,3,3,297530,1.008301684
2002-06-01,Central Coast,22.7,13.62,16.51,11.19,44,0,3,297530,1.008301684
2002-07-01,Central Coast,9.8,12.75,16.37,9.76,44,0,1,297530,0.336100561
2002-08-01,Central Coast,34.2,14.08,17.61,11.07,44,1,3,297530,1.008301684
2002-09-01,Central Coast,23,16.37,20.4,12.86,44,0,4,297530,1.344402245
2002-10-01,Central Coast,10.2,18.57,23.03,14.76,44,0,5,297530,1.680502806
2002-11-01,Central Coast,36.8,20.37,24.42,17.18,44,2,5,297530,1.680502806
2002-12-01,Central Coast,85.3,20.69,23.95,17.93,44,3,8,297530,2.68880449
2003-01-01,Central Coast,14.5,22.19,25.64,19.44,44,0,11,299319,3.675008937
2003-02-01,Central Coast,80.2,22.44,24.86,20.46,44,1,9,299319,3.006825494
2003-03-01,Central Coast,100.5,19.94,22.29,17.73,44,2,6,299319,2.004550329
2003-04-01,Central Coast,87,18,19.99,16.18,44,0,10,299319,3.340917215
2003-05-01,Central Coast,119.5,16.25,18.37,14.48,44,7,2,299319,0.668183443
2003-06-01,Central Coast,30.6,14.33,17.24,11.79,44,0,2,299319,0.668183443
2003-07-01,Central Coast,25,12.76,15.73,10.38,44,2,1,299319,0.334091722
2003-08-01,Central Coast,56.5,13.6,16.89,10.69,44,2,5,299319,1.670458608
2003-09-01,Central Coast,5.5,16.43,20.53,12.92,44,0,5,299319,1.670458608
2003-10-01,Central Coast,68.5,16.08,19.23,13.44,44,0,3,299319,1.002275165
2003-11-01,Central Coast,159.3,18.07,21.44,15.2,44,4,3,299319,1.002275165
2003-12-01,Central Coast,51.6,21.37,24.6,18.69,44,0,5,299319,1.670458608
2004-01-01,Central Coast,104.5,23.05,26.55,20.31,44,2,8,299999,2.666675556
2004-02-01,Central Coast,84.1,22.79,26.38,20.05,44,2,13,299999,4.333347778
2004-03-01,Central Coast,61.2,20.86,23.29,18.87,44,1,15,299999,5.000016667
2004-04-01,Central Coast,42.3,18.93,21.54,16.68,44,2,15,299999,5.000016667
2004-05-01,Central Coast,23.8,15.54,18.73,12.79,44,1,11,299999,3.666678889
2004-06-01,Central Coast,11.6,14.01,17.53,11.23,44,0,3,299999,1.000003333
2004-07-01,Central Coast,34.1,13,15.96,10.55,44,0,2,299999,0.666668889
2004-08-01,Central Coast,50.7,13.8,17.43,10.79,44,2,1,299999,0.333334444
2004-09-01,Central Coast,53.1,15.46,19.24,12.42,44,0,2,299999,0.666668889
2004-10-01,Central Coast,186.1,17.56,20.92,14.71,44,7,0,299999,0
2004-11-01,Central Coast,71.7,19.49,22.96,16.34,44,0,6,299999,2.000006667
2004-12-01,Central Coast,85.1,20.31,23.44,17.79,44,1,14,299999,4.666682222
2005-01-01,Central Coast,63.6,21.77,24.84,19.37,44,0,12,301403,3.981380411
2005-02-01,Central Coast,97.5,22.04,25.19,19.31,44,3,12,301403,3.981380411
2005-03-01,Central Coast,90.1,19.77,22.1,17.78,44,3,8,301403,2.654253607
2005-04-01,Central Coast,19.6,19.82,22.75,17.36,44,0,6,301403,1.990690205
2005-05-01,Central Coast,42.4,15.94,18.15,13.78,44,2,3,301403,0.995345103
2005-06-01,Central Coast,111.4,14.46,17.04,12.05,44,2,2,301403,0.663563402
2005-07-01,Central Coast,9.6,13.42,16.57,10.74,44,1,3,301403,0.995345103
2005-08-01,Central Coast,6.2,13.7,17.55,10.35,44,0,2,301403,0.663563402
2005-09-01,Central Coast,62.8,15.64,18.95,12.8,44,1,1,301403,0.331781701
2005-10-01,Central Coast,75.8,18.72,22.34,15.81,44,2,5,301403,1.658908505
2005-11-01,Central Coast,129.2,19.66,22.54,17.23,44,5,9,301403,2.986035308
2005-12-01,Central Coast,27,22.74,27.07,18.93,44,0,4,301403,1.327126804
2006-01-01,Central Coast,57.5,22.98,25.74,20.81,44,2,12,303051,3.95972955
2006-02-01,Central Coast,36,23.26,26.34,20.93,44,1,7,303051,2.309842238
2006-03-01,Central Coast,40.8,21.89,24.5,19.85,44,1,3,303051,0.989932388
2006-04-01,Central Coast,13.4,18.72,22.08,15.7,44,0,3,303051,0.989932388
2006-05-01,Central Coast,16.4,15.36,18.43,12.66,44,0,1,303051,0.329977463
2006-06-01,Central Coast,61.6,12.95,15.28,10.93,44,5,5,303051,1.649887313
2006-07-01,Central Coast,48.9,13.14,16,10.71,44,0,3,303051,0.989932388
2006-08-01,Central Coast,21.4,14.1,17.26,11.21,44,1,3,303051,0.989932388
2006-09-01,Central Coast,118.4,16.74,20.44,13.68,44,6,4,303051,1.31990985
2006-10-01,Central Coast,17,18.14,22.05,14.85,44,0,8,303051,2.6398197
2006-11-01,Central Coast,35.8,19.73,23.48,16.22,44,2,2,303051,0.659954925
2006-12-01,Central Coast,70.7,20.4,23.57,17.61,44,1,5,303051,1.649887313
2007-01-01,Central Coast,31,22.52,26,19.61,44,0,4,306499,1.305061354
2007-02-01,Central Coast,97.6,22.11,24.66,20.03,44,0,12,306499,3.915184063
2007-03-01,Central Coast,61.2,21.53,24.54,19.03,44,0,22,306499,7.177837448
2007-04-01,Central Coast,73.9,18.54,21.01,16.43,44,0,64,306499,20.88098167
2007-05-01,Central Coast,30.4,17.23,20.29,14.41,44,0,7,306499,2.28385737
2007-06-01,Central Coast,341.7,12.9,15.04,10.94,44,13,2,306499,0.652530677
2007-07-01,Central Coast,14.1,12,14.96,9.52,44,2,3,306499,0.978796016
2007-08-01,Central Coast,69.4,14.62,18.03,12.03,44,2,2,306499,0.652530677
2007-09-01,Central Coast,23.9,15.56,18.88,12.85,44,0,3,306499,0.978796016
2007-10-01,Central Coast,35,19.04,23.27,15.43,44,0,4,306499,1.305061354
2007-11-01,Central Coast,177.1,19.21,21.75,17.01,44,2,7,306499,2.28385737
2007-12-01,Central Coast,129.7,20.6,22.9,18.56,44,0,10,306499,3.262653385
2008-01-01,Central Coast,105.8,21.86,24.22,19.93,44,3,16,312338,5.122655585
2008-02-01,Central Coast,145.2,20.5,22.6,18.67,44,5,30,312338,9.604979221
2008-03-01,Central Coast,47.4,20.13,22.95,17.66,44,0,13,312338,4.162157663
2008-04-01,Central Coast,114.1,16.94,19.22,14.72,44,2,12,312338,3.841991688
2008-05-01,Central Coast,15.8,15.23,18.23,12.48,44,0,11,312338,3.521825714
2008-06-01,Central Coast,91.8,14.86,17.08,12.98,44,3,2,312338,0.640331948
